start,distance (m),time (s),miles,minutes,min_per_mile,date
2017-06-11 23:03:19,16000.0,5046.0,9.9419390758,84.1,8.4591144,06/11/17
2017-06-15 12:37:20,11100.0,3608.0,6.89722023383,60.1333333333,8.71848821622,06/15/17
2017-06-18 13:48:22,14560.0,4510.0,9.04716455898,75.1666666667,8.30831208791,06/18/17
2017-06-21 01:34:50,8670.0,2652.0,5.3872882367,44.2,8.20449882353,06/21/17
2017-07-01 16:12:55,8560.0,2762.0,5.31893740555,46.0333333333,8.65461084112,07/01/17
2017-07-03 13:33:21,11020.0,3575.0,6.84751053846,59.5833333333,8.70145916515,07/03/17
2017-07-07 13:39:01,11100.0,3583.0,6.89722023383,59.7166666667,8.65807740541,07/07/17
2017-07-08 15:13:09,6970.0,2244.0,4.33095720989,37.4,8.63550439024,07/08/17
2017-07-09 16:16:56,16090.0,5118.0,9.9978624831,85.3,8.53182369173,07/09/17
2017-07-12 12:22:20,11430.0,3768.0,7.10227272727,62.8,8.84224,07/12/17
2017-07-14 13:03:41,19150.0,6115.0,11.8992583313,101.916666667,8.56495958225,07/14/17
2017-07-15 15:29:46,8920.0,2894.0,5.54263103476,48.2333333333,8.70224502242,07/15/17
2017-07-19 12:37:37,11080.0,3635.0,6.88479280999,60.5833333333,8.79958700361,07/19/17
2017-07-21 14:21:49,7120.0,2261.0,4.42416288873,37.6833333333,8.5176188764,07/21/17
2017-07-23 12:36:17,21390.0,6902.0,13.291129802,115.033333333,8.65489503506,07/23/17
2017-07-28 14:01:29,8620.0,2777.0,5.35621967709,46.2833333333,8.64104464037,07/28/17
2017-08-01 01:48:00,7020.0,2181.0,4.36202576951,36.35,8.33328410256,08/01/17
2017-08-02 12:25:21,8610.0,2799.0,5.35000596516,46.65,8.71961644599,08/02/17
2017-08-04 13:55:37,11150.0,3578.0,6.92828879345,59.6333333333,8.60722396413,08/04/17
2017-08-06 15:01:41,19320.0,6122.0,12.004891434,102.033333333,8.49931329193,08/06/17
2017-08-08 13:34:12,11250.0,3587.0,6.99042591267,59.7833333333,8.55217322667,08/08/17
2017-08-10 12:22:55,8590.0,2823.0,5.33757854132,47.05,8.81485857974,08/10/17
2017-08-11 13:57:28,8150.0,2771.0,5.06417521673,46.1833333333,9.119616,08/11/17
2017-08-13 15:01:42,11830.0,4204.0,7.35082120417,70.0666666667,9.53181484362,08/13/17
2017-08-14 15:06:17,9550.0,3053.0,5.93409488587,50.8833333333,8.57474211518,08/14/17
2017-08-19 17:59:07,7010.0,2520.0,4.35581205758,42.0,9.642289301,08/19/17
2017-08-22 13:23:48,4680.0,1325.0,2.90801717967,22.0833333333,7.59394871795,08/22/17
2017-08-25 01:20:38,7610.0,2322.0,4.72863477293,38.7,8.18418039422,08/25/17
2017-08-25 13:58:39,10910.0,3595.0,6.77915970731,59.9166666667,8.83836186984,08/25/17
2017-08-26 15:45:19,15920.0,4919.0,9.89222938042,81.9833333333,8.28764984925,08/26/17
2017-08-29 13:34:15,6750.0,2207.0,4.1942555476,36.7833333333,8.76993137778,08/29/17
2017-08-30 12:41:58,9680.0,2884.0,6.01487314086,48.0666666667,7.99130181818,08/30/17
2017-09-01 14:06:14,8700.0,2780.0,5.40592937246,46.3333333333,8.57083586207,09/01/17
2017-09-06 13:58:14,8630.0,2693.0,5.36243338901,44.8833333333,8.36995633835,09/06/17
2017-09-08 14:25:25,11150.0,3573.0,6.92828879345,59.55,8.59519598206,09/08/17
2017-09-11 12:17:02,6780.0,2307.0,4.21289668337,38.45,9.12673699115,09/11/17
2017-09-13 12:26:59,11050.0,3391.0,6.86615167422,56.5166666667,8.2311998552,09/13/17
